,title,ingredients,instructions,author,date,rating,times,servings,image,category,Ing. Prices,Price,Ing. Nutr
0,Quick Air Fryer Tilapia,"['  olive oil cooking spray', '2 tablespoons all-purpose flour', '1 ½ teaspoons seafood seasoning (such as Old Bay®)', '¾ teaspoon paprika', '½ teaspoon garlic powder', '  salt and freshly ground black pepper to taste', '1 pound tilapia fillets, thawed if frozen', '  4 lemon slices']","['Preheat an air fryer to 400 degrees F (200 degrees C). Spray the air fryer basket with olive oil spray or line with a parchment liner.', 'Whisk flour, seafood seasoning, paprika, garlic powder, salt, and pepper together in a small bowl.', 'Remove tilapia filets from the package and pat dry with a paper towel. Lightly spray filets with olive oil, and sprinkle flour seasoning over each filet, pressing down to coat all of the fish. Turn them over, and season on the other side as well. Place the filets into the air fryer basket, without overlapping, so air can circulate around the filets.', 'Cook until tilapia filets flake easily with a fork, 7 to 10 minutes. There is no need to flip them. Depending on your air fryer size, you might have to cook them in batches.', 'Top each filet with a slice of lemon, and serve hot.']",lutzflcat,"Published on February 2, 2023",3.0,"[{'Prep Time': '10 mins'}, {'Cook Time': '8 mins'}, {'Total Time': '18 mins'}]",4,https://www.allrecipes.com/thmb/pm6mhrbv2GrJGiNVjKOoXOf7zCc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1674321804Easy20Air20Fryer20Tilapia-2000-b2efb307f1d54e7ab0292eb285bf0ac3.jpeg, Air Fryer Recipes,"['$0.02', '$0.10', '$0.08', '$0.05', '$8.05', '$0.13']",8.43,"{'calories': '517', 'protein': '93g', 'total_fat': '8g', 'carbs': '18g'}"
1,Air Fryer Chickpeas,"['1 (15.5 ounce) can chickpeas, drained and rinsed', '¾ tablespoon avocado oil', '2 teaspoons chili-lime seasoning (such as Tajin®)', '¼ teaspoon garlic powder', '1 pinch cayenne pepper, or to taste', '  salt to taste']","['Preheat air fryer to 400 degrees F (200 degrees C). Spray the air fryer basket with cooking spray or use a parchment liner.', 'Place chickpeas on a paper towel-lined plate to dry, patting down with another paper towel on top. Add dried chickpeas to a medium bowl, drizzle with avocado oil, sprinkle with Tajin, garlic powder, and cayenne, and toss to coat.', 'Transfer chickpeas to the air fryer basket, and cook, stirring or shaking halfway through, until you reach your desired crispness, 12 to 15 minutes. Cooking time may vary depending on the brand and size of your air fryer.', 'Season with salt and allow chickpeas to cool slightly.']",lutzflcat,"Updated on June 28, 2023",4.5,"[{'Prep Time': '10 mins'}, {'Cook Time': '15 mins'}, {'Total Time': '25 mins'}]",4,https://www.allrecipes.com/thmb/Ns5InJsRWLKy-P7blc1KT-6ts4c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8529798air-fryer-chickpeasPaula4x3-bee94ff2062e4cb8826e418d4cb8706a.jpg, Air Fryer Recipes,"['$0.89', '$0.24', '$0.09', '$0.02', '$0.01']",1.25,"{'calories': '493', 'protein': '22g', 'total_fat': '19g', 'carbs': '62g'}"
2,Air Fryer Loaded Mashed Potato Cakes,"['2 cups cold mashed potatoes', '1 cup shredded Cheddar cheese', '3  green onions, chopped', '¼ cup real bacon bits', '2 tablespoons all-purpose flour', '1 small egg, beaten']","['Combine mashed potatoes, Cheddar cheese, green onions, bacon bits, and flour in a bowl; stir until combined. Mix in beaten egg.', 'Preheat air fryer to 400 degrees F (200 degrees C) for 10 minutes.', 'Form mixture into 6 patties and set on a baking sheet. Place baking sheet in the freezer for 10 minutes while you preheat the air fryer.', 'Place patties in the air fryer basket in batches, making sure to not overcrowd. Cook undisturbed for 12 minutes. Repeat with remaining patties.']",Soup Loving Nicole,"Published on January 24, 2023",5.0,"[{'Prep Time': '10 mins'}, {'Cook Time': '12 mins'}, {'Freeze Time': '10 mins'}, {'Total Time': '32 mins'}, {'Yield': '6 potato cakes'}]",6,https://www.allrecipes.com/thmb/VIfFKC6MYcWSNIxEWGUGwces204=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8527972-Air-Fryer-Loaded-Mashed-Potato-Cakes-3234bd2c2a8545c68f3cae4fc9c61cba.jpg, Air Fryer Recipes,"['$0.56', '$1.21', '$0.24', '$0.91', '$0.02', '$0.21']",3.15,"{'calories': '1005', 'protein': '53g', 'total_fat': '48g', 'carbs': '90g'}"
3,Air Fryer Chicken Bites with Parmesan Cheese,"['2 teaspoons olive oil', '2 teaspoons Worcestershire sauce', '1 teaspoon dried Italian seasoning', '½ teaspoon garlic powder', '¼ teaspoon salt', '⅛ teaspoon freshly ground black pepper', '1 pound skinless, boneless chicken breast, cut into 1-inch cubes', '2 tablespoons all-purpose flour', '  cooking spray', '¼ cup shredded Parmesan cheese', '2 tablespoons chopped fresh parsley']","['Whisk olive oil, Worcestershire, Italian seasoning, garlic powder, salt, and pepper together in a bowl. Add chicken cubes and stir to coat.', 'Preheat an air fryer to 370 degrees F (185 degrees C) for 10 minutes.', 'Add flour to the chicken mixture and stir to coat until all liquid is absorbed.', 'Place chicken in the basket of the air fryer and cook for 8 minutes. Using tongs, flip the pieces over. Spray tops with non-stick cooking spray and cook 8 minutes more.', 'Sprinkle Parmesan cheese and parsley over the chicken. Cook until cheese has started to melt, about 2 minutes more. Serve immediately.']",Soup Loving Nicole,"Published on September 13, 2022",5.0,"[{'Prep Time': '10 mins'}, {'Cook Time': '18 mins'}, {'Total Time': '28 mins'}]",4,https://www.allrecipes.com/thmb/3f5a8F7LIgPDyfnc82HtAVLBV3g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Air-Fryer-Chicken-Bites-with-Parmesan-Cheese-1854eda3db994e8987c6a898ef88aa43.jpg, Air Fryer Recipes,"['$0.10', '$0.07', '$0.10', '$0.05', '$4.02', '$0.02', '$0.53', '$0.32']",5.21,"{'calories': '764', 'protein': '107g', 'total_fat': '26g', 'carbs': '17g'}"
4,Air Fryer Cherry Cream Cheese Croissants,"['  flour for dusting', '1 (8 ounce) package refrigerated crescent roll dough (such as Pillsbury®', '1 (8 ounce) tub cream cheese', '1 (15 ounce) can pitted sour cherries, drained', '  cooking spray', '  ground cinnamon to taste']","['Lightly dust a work surface with flour. Unroll crescent dough and divide into triangles along the perforated lines.', 'Spread each triangle with cream cheese.', 'Drop 3 or 4 cherries on the wider portion of each crescent dough triangle. Carefully roll up each crescent, making sure the cherries stay tucked in. Fold down the ends of each roll slightly so it forms a crescent shape.', 'Spray the basket of the air fryer with non stick cooking spray spray. Carefully set the croissants into the basket.', 'Set air fryer to 400 degrees F (200 degrees C).', 'Air fry croissants until puffed up and lightly browned, about 5 minutes. Check to make sure croissants are not sticking to each other and that they are not overly browned. Continue cooking for 2 to 3 minutes longer, making sure they do not get too done.', 'Transfer croissants to a plate and sprinkle with cinnamon.']",LaDonna Langwell,"Published on August 31, 2022",4.6,"[{'Prep Time': '10 mins'}, {'Cook Time': '5 mins'}, {'Total Time': '15 mins'}, {'Yield': '8 croissants'}]",8,https://www.allrecipes.com/thmb/yQMvPCvsO4vcSTii-H38uzv-XYM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Air-Fryer-Cherry-Cream-Cheese-Croissants-LaDonna-Langwell-4x3-1-b6cbc1347d3b4e9083cb378991ad2083.jpg, Air Fryer Recipes,"['$3.32', '$2.35', '$3.69', '$0.08']",9.44,"{'calories': '1861', 'protein': '26g', 'total_fat': '127g', 'carbs': '172g'}"
5,Air Fryer Halloumi Cheese,"['8 ounces halloumi cheese', '2 teaspoons olive oil', '  cooking spray']","['Preheat the air fryer to 360 degrees F (180 degrees C).', 'Slice halloumi into 6 equal slices, cut each slice in half, and dry with a paper towel. Brush all sides with olive oil.', ""Lightly spray the air fryer basket with cooking spray. Place the halloumi slices in the basket, making sure they're not touching. You may have to cook in two batches,"", 'Cook for 7 to 9 minutes until golden brown, but make sure not to overcook or they turn rubbery. Serve immediately.']",lutzflcat,"Published on August 24, 2022",5.0,"[{'Prep Time': '10 mins'}, {'Cook Time': '7 mins'}, {'Total Time': '17 mins'}, {'Yield': '12 slices halloumi'}]",12,https://www.allrecipes.com/thmb/oZJi-If5s1iou8CzMF7_eQVFzIo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1658855802Air20Fryer20Halloumi20Cheese-2000-4ea551d4505a4f00987eecf66556df9a.jpeg, Air Fryer Recipes,"['$10.04', '$0.10']",10.14,"{'calories': '785', 'protein': '49g', 'total_fat': '63g', 'carbs': '1g'}"
6,Air Fryer BBQ Chicken Drummies,"['2 pounds chicken drummies', '1 ½ tablespoons olive oil', '1 teaspoon garlic powder', '½ teaspoon salt', '⅛ teaspoon freshly ground black pepper', '¾ cup barbecue sauce']","['Preheat an air fryer to 360 degrees F (180 degrees C).', 'Place drummies in a large bowl. Add olive oil, garlic powder, salt, and pepper. Mix until evenly combined. Spread out drummies in the basket of the air fryer.', 'Cook drummies for 25 minutes.', 'Using tongs, remove drummies from the air fryer and place in a large bowl. Pour barbecue over the top and shake to coat.', 'Place coated drummies back in the basket of the air fryer. Cook until drummies are no longer pink at the bone and the juices run clear, about 5 more minutes. An instant-read thermometer inserted near the bone should read 165 degrees F (74 degrees C). Serve immediately.']",Soup Loving Nicole,"Published on January 5, 2023",5.0,"[{'Prep Time': '5 mins'}, {'Cook Time': '30 mins'}, {'Total Time': '35 mins'}]",4,https://www.allrecipes.com/thmb/7tbiJ-SeU3wXuAQn0CNC_WZ6nB8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Air-Fryer-BBQ-Chicken-Drummies-SoupLovingNicole-4x3-1-b37445146dec4f3bb3cb1c9cf7d051d4.jpg, Air Fryer Recipes,"['$2.89', '$0.25', '$0.09', '$0.84']",4.07,"{'calories': '1501', 'protein': '83g', 'total_fat': '87g', 'carbs': '89g'}"
7,Air Fryer Grilled Peaches with Cinnamon,"['1 medium firm peach, halved and pitted', '2 tablespoons unsalted butter', '1 teaspoon light brown sugar', '¼ teaspoon ground cinnamon', '2 scoops vanilla ice cream']","['Preheat air fryer to 350 degrees F (175 degrees C).', 'Place peach halves flesh side down in the basket of the air fryer. Cook for 6 minutes.', 'Meanwhile melt butter. Stir in brown sugar and cinnamon until sugar has dissolved.', 'Using tongs, flip peaches over so that they are flesh side up. Brush butter mixture over the top, filling the pit cavity with any excess. Cook for 6 minutes more.', 'Let peaches cool for 5 minutes. Top each half with a scoop of ice cream. Serve immediately.']",Soup Loving Nicole,"Published on September 13, 2022",5.0,"[{'Prep Time': '5 mins'}, {'Cook Time': '12 mins'}, {'Cool Time': '5 mins'}, {'Total Time': '22 mins'}]",2,https://www.allrecipes.com/thmb/N2IWBsl-ioAcdn4qcTwcLI7PmVw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Air-Fryer-Grilled-Peaches-with-Cinnamon-4b5a73b11a39435c9866dbc139a25f4f.jpg, Air Fryer Recipes,"['$0.66', '$0.24', '$0.01', '$0.02', '$0.42']",1.35,"{'calories': '553', 'protein': '6g', 'total_fat': '37g', 'carbs': '50g'}"
8,Air Fryer Smoked Salmon Wontons,"['1 (6 ounce) package cream cheese, softened', '3 ounces cold-smoked salmon, finely chopped', '1 ½ tablespoons minced capers', '1 ½ tablespoons finely minced red onion', '48  wonton wrappers', '  water as needed', '  cooking spray']","['Combine cream cheese, salmon, capers, and red onion in a bowl. Fill a second small bowl with water.', 'Working with 6 wonton wrappers at a time, separate them out onto a clean work surface. Place 1 teaspoon of salmon mixture in the center of each wonton. Do not overfill, as the mixture may ooze out.', 'Dip your finger in the bowl of water, and lightly wet the 4 edges of each wonton wrapper. Gently fold in half diagonally to make a triangle, and seal the edges. Try not to leave excess air in the wonton, which can cause them to burst. Lightly wet the bottom of the triangle, and fold the right side over the middle, then the left side, pressing all edges to seal. Set wontons aside, covered with a damp paper towel, while you finish making the remaining wontons.', 'Preheat the air fryer to 330 degrees F (166 degrees C). Generously mist both sides of wontons with cooking spray.', 'Place as many wontons in the air fryer basket as will fit, without overcrowding.', 'Air-fry for 5 minutes, flipping halfway through. Remove to a cooling rack and let cool while you cook the remaining wontons in batches. Best served slightly warm or at room temperature.']",France C,"Published on November 28, 2022",5.0,"[{'Prep Time': '45 mins'}, {'Cook Time': '5 mins'}, {'Total Time': '50 mins'}, {'Yield': '48 wonton appetizers'}]",48,https://www.allrecipes.com/thmb/2W-dbS2VbFRrS2E4fdmA4ZwvqPQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1668384674IMG_4539203-2000-57c5d66ea5034c638e26802a7b53a9f2.jpg, Air Fryer Recipes,"['$1.76', '$3.31', '$0.46', '$0.05', '$3.21']",8.79,"{'calories': '1752', 'protein': '61g', 'total_fat': '67g', 'carbs': '219g'}"
9,Spicy Chicken Jerky in the Air Fryer,"['2 (5 ounce) boneless chicken breasts, cut into strips', '½ cup mojo criollo marinade (such as Goya®)', '2 teaspoons Cajun seasoning', '6  wooden skewers']","['Combine chicken strips, marinade, and Cajun seasoning in a resealable plastic bag. Refrigerate for 8 hours to overnight.', 'Measure skewers to fit across the air fryer basket, slightly overlapping the edge. Trim off excess length.', 'Preheat the air fryer to 180 degrees F (80 degrees C) for 10 minutes.', 'Thread chicken strips onto skewers, leaving room in between each strip, while the air fryer is preheating.', 'Air fry for 1 hour 15 minutes. Adjust cooking time as most air fryers have a maximum setting of 30 minutes. Rearrange the skewers during the reset time.', 'Increase temperature to 200 degrees F (95 degrees C) and air fry for an additional 15 minutes.', 'Remove strips to a paper towel-lined storage container. Seal. Allow to rest overnight before serving.']",thedailygourmet,"Updated on July 1, 2022",4.0,"[{'Prep Time': '10 mins'}, {'Cook Time': ' 1 hr 30 mins'}, {'Additional Time': ' 16 hrs'}, {'Total Time': ' 17 hrs 40 mins'}, {'Yield': '6 skewers'}]",6,https://www.allrecipes.com/thmb/noLYV7wQ3EhSnMrbFxG-Dg5hw_w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7816136-60c40c8fe6f940feaab5a0e211a6cb02.jpg, Air Fryer Recipes,"['$2.51', '$2.11', '$0.13']",4.75,"{'calories': '531', 'protein': '67g', 'total_fat': '7g', 'carbs': '41g'}"
